id,sku,short_description,price,list_price,price_usd,discount,discount_rate,review_count,order_count,inventory_status,is_visible,stock_item_qty,stock_item_max_sale_qty,product_name,brand_id,brand_name
189157824,5195529082488,"Bộ 8 túi hút chân không Tặng kèm bơm hút chân không đựng quần áo, chăn màn, ga gối gọn gàng Chính hãng D DanidoChất liệu nhựa nguyên sinh                  Sau mỗi lần chuyển mùa, nhiều gia đình lạ...",189000,198000,,9000,5,14,,available,,1000,1000,,7377629,D Danido
7699064,1583048924259,"Chảo Nhôm Sâu Lòng Chống Dính Lock&Lock Baum Marble 1 Tay Cầm, Nắp Thủy Tinh LBU1285 (28cm) mang đến sự tinh tế và sang trọng, là đồ dùng nhà bếp được trau chuốt bởi thiết kế hiện đại và mới mẻ....",426000,776000,,350000,45,403,,available,,1000,1000,,48077,LocknLock
102508672,6773410778240," CAM KẾT 100% HÀNG CHÍNH HÃNG, ĐÚNG THEO MÔ TẢ & HÌNH ẢNH  Sản phẩm chính hãng , nguồn gốc xuất xứ rõ ràng , hàng chất lượng cao. Tư vấn/hướng dẫn nhiệt tình chu đáo. Hãy chọn sản phẩm của SHOP đ...",222000,360000,,138000,38,184,,available,,1000,1000,,868633,ENCOVINA
75354717,4505357806252,"Tủ Quần Áo 2 Buồng 6 Ngăn Tiện Lợi, Tủ Vải 170cm Chất Lượng Cao Chắc Chắn, Vững ChãiKích thước 165 x 105 x 45cmHàng Chính Hãng miDoctor              Sau sự thành công của hàng loạt các dòng sản p...",344000,415000,,71000,17,372,,available,,1000,1000,,245945,miDoctor
38462026,9303075260142,"- Đèn Led Trang Trí Dài 3M - 20 Bóng Trang Trí Noel Lễ Tết là sản phẩm không thể thiếu khi trang trí các quán cafe, nhà hàng , karaoke, lễ hội , các phòng studio chụp ảnh , gia đình các dịp lễ , tết ,...",45000,45000,,0,0,86,,available,,1000,1000,,111461,OEM
77962744,3421193261234,"LƯU Ý: - LAU THẬT SẠCH TƯỜNG, ĐỂ KHÔ RỒI MỚI DÁN KEO. SAU KHI DÁN ĐỂ 12H CHO KEO ĂN RỒI MỚI ĐỀ ĐỒ LÊN.- Tuyệt đối không dán lên tường SƠN NƯỚC, TƯỜNG QUÉT VÔI vì lực nặng sẽ kéo bung cả sơn nước, lộ...",41400,45000,,3600,8,79,,available,,1000,1000,,4269901,MO hi
104681142,4156275362497,      *Thông số kỹ t...,66000,99000,,33000,33,233,,available,,1000,1000,,3807547,MyJae
7202377,7310524504957,"Bộ 3 Lõi Lọc Nước Máy Tiêu Chuẩn BarrierTính năngLõi lọc sử dụng công nghệ làm sạch Nano Plus & UltraStop giúp loại bỏ tất cả các thành phần độc hại trong nước như Asen, kim loại nặng bị hòa ta...",515000,660000,,145000,22,327,,available,,1000,1000,,79599,BARRIER
87966539,2510880838672,"Sọt rác lưới tròn 26x23x18.5cm - Màu Ngẫu NhiênSọt rác lưới tròn 26x23x18.5cm được thiết kế với lòng sọt rác được đan chéo nhau tạo lỗ thoát khí tạo sự thông thoáng, tránh gây bí hơi dẫn đến tình t...",85000,120000,,35000,29,2,,available,,1000,1000,,4251607,Vixufu
118451214,5140482878097,Thiết kế mỗi ổ cắm kèm 1 công tắc riêng an toàn hơn.Thiết mỗi ổ cắm 1 màu - Tránh nhầm lẫn - An toàn hơn!- Công suất tối đa 2200W Max 10A 250V.- Có bảo vệ quá tải bằng CB - có nắp che an toàn.Thông ...,165000,165000,,0,0,11,,available,,1000,1000,,144845,LiOA
